10.49540	-0.35057	0.46748	0.27531
10.50292	-0.35087	0.47851	0.27370
10.50836	-0.35092	0.48836	0.27287
10.51271	-0.35019	0.49877	0.27206
10.51763	-0.35051	0.52321	0.27012
10.52393	-0.35770	0.51956	0.27026
10.52768	-0.35805	0.52943	0.26941
10.53384	-0.35670	0.53148	0.26878
10.53698	-0.35579	0.55364	0.26731
10.54266	-0.35124	0.56387	0.26596
10.54845	-0.35343	0.57553	0.26486
10.55172	-0.35685	0.58894	0.26388
10.55676	-0.35778	0.59938	0.26262
10.56241	-0.35506	0.61319	0.26159
10.56954	-0.35919	0.61390	0.26108
10.57238	-0.35909	0.62216	0.26049
10.57594	-0.35700	0.63333	0.25919
10.58324	-0.36020	0.64336	0.25814
10.58664	-0.35708	0.64870	0.25747
10.59232	-0.35857	0.65169	0.25724
10.59831	-0.35526	0.66171	0.25642
10.60213	-0.35974	0.66866	0.25522
10.60710	-0.36499	0.67015	0.25525
10.61144	-0.36050	0.68270	0.25393
10.61771	-0.35665	0.69188	0.25309
10.62123	-0.35571	0.70121	0.25208
10.62792	-0.35709	0.70716	0.25112
10.63259	-0.36302	0.70543	0.25113
10.63629	-0.36767	0.71397	0.25022
10.64168	-0.36552	0.71863	0.24970
10.64698	-0.35991	0.73044	0.24861
10.65185	-0.35926	0.73944	0.24767
10.65789	-0.36427	0.73750	0.24776
10.66123	-0.35486	0.75267	0.24672
10.66820	-0.35695	0.75689	0.24607
10.67318	-0.36065	0.75860	0.24551
10.67733	-0.35438	0.77064	0.24469
10.68236	-0.35396	0.77142	0.24447
10.68607	-0.36130	0.77718	0.24387
10.69177	-0.36456	0.77710	0.24342
10.69677	-0.36468	0.77768	0.24342
10.70354	-0.36018	0.78980	0.24222
10.70746	-0.35991	0.79718	0.24140
10.71405	-0.36111	0.79418	0.24138
10.71506	-0.36978	0.79756	0.24072
10.72165	-0.37255	0.79515	0.24042
10.72768	-0.36809	0.79408	0.24047
10.73219	-0.36614	0.79739	0.23986
10.73656	-0.36124	0.79619	0.23938
10.74159	-0.36085	0.80282	0.23873
10.74659	-0.36073	0.80634	0.23849
10.75253	-0.36203	0.80416	0.23821
10.75729	-0.35974	0.80591	0.23798
10.76187	-0.36544	0.80398	0.23758
10.76722	-0.36755	0.80116	0.23762
10.77171	-0.37062	0.79665	0.23774
10.77743	-0.36365	0.79570	0.23755
10.78187	-0.36458	0.79636	0.23779
10.78748	-0.38493	0.78413	0.23853
10.79311	-0.38897	0.78587	0.23870
10.79727	-0.37393	0.78693	0.23832
10.80153	-0.37337	0.78511	0.23813
10.80881	-0.37027	0.78302	0.23778
10.81190	-0.37431	0.78060	0.23785
10.81615	-0.37408	0.77420	0.23781
10.82255	-0.37413	0.76921	0.23818
10.82892	-0.38414	0.76059	0.23840
10.83269	-0.37742	0.76564	0.23790
10.83668	-0.37660	0.75882	0.23810
10.84180	-0.37913	0.75144	0.23814
10.84733	-0.38326	0.74580	0.23817
10.85150	-0.38022	0.73867	0.23821
10.85592	-0.38386	0.73503	0.23850
10.86311	-0.37474	0.73536	0.23793
10.86755	-0.39210	0.71598	0.23896
10.87337	-0.39541	0.70769	0.23975
10.87719	-0.39847	0.70171	0.24033
10.88174	-0.38607	0.70132	0.23962
10.88694	-0.38983	0.69333	0.24032
10.89420	-0.39306	0.69297	0.24059
10.89782	-0.39929	0.67738	0.24138
10.90270	-0.38139	0.67477	0.24146
10.90680	-0.36875	0.66448	0.24146
10.91221	-0.37927	0.66293	0.24137
