9.47355	-0.22414	-0.70745	0.62402
9.48320	-0.22804	-0.71433	0.61499
9.49388	-0.23120	-0.72082	0.60694
9.50293	-0.23475	-0.72436	0.59565
9.51437	-0.23591	-0.72933	0.58500
9.52262	-0.23730	-0.73239	0.57501
9.53301	-0.24074	-0.73280	0.56766
9.54379	-0.24266	-0.73400	0.55978
9.55453	-0.24711	-0.73432	0.55212
9.56440	-0.25171	-0.73499	0.54466
9.57452	-0.25069	-0.73220	0.53854
9.58357	-0.24904	-0.73048	0.53192
9.59369	-0.25428	-0.72840	0.52486
9.60439	-0.25388	-0.72696	0.51878
9.61361	-0.25847	-0.72565	0.51205
9.62413	-0.26281	-0.71965	0.51199
9.63462	-0.26579	-0.71453	0.50527
9.64341	-0.26867	-0.70821	0.49940
9.65368	-0.27265	-0.69911	0.49423
9.66373	-0.27631	-0.69274	0.48885
9.67339	-0.27963	-0.68336	0.48468
9.68379	-0.28385	-0.67500	0.47962
9.69249	-0.28569	-0.66336	0.47571
9.70239	-0.28928	-0.65093	0.47116
9.71310	-0.28931	-0.63799	0.46406
9.72357	-0.29056	-0.62882	0.45982
9.73361	-0.29540	-0.61503	0.45601
9.74281	-0.29861	-0.60031	0.45314
9.75350	-0.30473	-0.58742	0.45020
9.76401	-0.30609	-0.57337	0.44820
9.77354	-0.31035	-0.55765	0.44516
9.78278	-0.30836	-0.54487	0.44224
9.79315	-0.30939	-0.53396	0.43993
9.80298	-0.30927	-0.51878	0.43763
9.81350	-0.31504	-0.50048	0.43661
9.82225	-0.31961	-0.48563	0.43705
9.83346	-0.32345	-0.47038	0.43613
9.84436	-0.32590	-0.45652	0.43479
9.85326	-0.32772	-0.44145	0.43379
9.86380	-0.32952	-0.42770	0.43280
9.87443	-0.32876	-0.41435	0.43222
9.88387	-0.33440	-0.40173	0.43077
9.89304	-0.33483	-0.38801	0.43025
9.90329	-0.33784	-0.37438	0.42929
9.91429	-0.33973	-0.35783	0.42802
9.92384	-0.34040	-0.34284	0.41936
9.93253	-0.34289	-0.33014	0.42537
9.94446	-0.34472	-0.31999	0.42471
9.95344	-0.34785	-0.30705	0.42424
9.96380	-0.34886	-0.29542	0.42460
9.97405	-0.35080	-0.28148	0.42504
9.98403	-0.34991	-0.26965	0.42535
9.99451	-0.35078	-0.25904	0.42584
10.00474	-0.35174	-0.24921	0.42627
10.01388	-0.35319	-0.23781	0.42705
10.02262	-0.35605	-0.22960	0.43169
10.03395	-0.35876	-0.22239	0.43829
10.04296	-0.36053	-0.21465	0.44037
10.05402	-0.35788	-0.21062	0.44179
10.06312	-0.35841	-0.20269	0.43528
10.07383	-0.35801	-0.19522	0.43581
10.08312	-0.35789	-0.18868	0.43699
10.09344	-0.35887	-0.18219	0.43798
10.10346	-0.35705	-0.17638	0.43907
10.11307	-0.35550	-0.17193	0.44014
10.12359	-0.35666	-0.16603	0.44164
10.13463	-0.35432	-0.16118	0.43917
