11.11602	0.03031	0.18173
11.09186	0.04059	0.18352
11.07177	0.03585	0.18086
11.05439	0.03563	0.18201
11.03212	0.04360	0.18015
11.01118	0.03706	0.17729
10.99200	0.04104	0.18415
10.97330	0.03802	0.18011
10.95278	0.04155	0.17773
10.93444	0.04225	0.17857
10.91008	0.03364	0.17630
10.89437	0.03558	0.17823
10.87264	0.03585	0.17602
10.85300	0.04055	0.18114
10.83310	0.03913	0.18126
10.81291	0.03453	0.18150
10.79399	0.03774	0.17855
10.77386	0.04325	0.18476
10.75365	0.03562	0.18037
10.73423	0.03563	0.17919
10.71218	0.03680	0.18066
10.69335	0.03848	0.18538
10.67187	0.03975	0.18051
10.65308	0.03757	0.17974
10.63090	0.03444	0.18049
10.61124	0.03914	0.17875
10.59001	0.03653	0.17750
10.57140	0.03528	0.18539
10.55066	0.04026	0.18505
10.53217	0.03538	0.18602
10.51232	0.03362	0.18182
10.49434	0.03531	0.18717
10.47204	0.03444	0.18605
10.45398	0.03201	0.18245
10.43281	0.02992	0.18657
10.41135	0.03328	0.18400
10.39310	0.03500	0.18246
10.37048	0.04028	0.18610
10.35170	0.03024	0.18316
10.33357	0.02729	0.17926
10.31339	0.03518	0.18123
10.29239	0.04563	0.18325
10.27311	0.03571	0.18034
10.25423	0.03772	0.18387
10.23082	0.04704	0.18296
10.21235	0.04706	0.18720
10.19283	0.04315	0.18510
10.17378	0.05072	0.18259
10.15337	0.05007	0.18732
10.13199	0.04625	0.18316
10.11062	0.04599	0.18045
10.09316	0.05362	0.18136
10.07203	0.05959	0.18886
10.05313	0.05532	0.18384
10.03167	0.06917	0.18682
10.01312	0.07133	0.18503
9.99315	0.07352	0.18536
9.97270	0.08074	0.18654
9.95263	0.08912	0.18306
9.93221	0.09505	0.18079
9.91302	0.11112	0.18503
9.89350	0.12275	0.17966
9.87352	0.13291	0.18334
9.85300	0.14914	0.18073
9.83303	0.16454	0.17948
9.81226	0.18984	0.18432
9.79465	0.20233	0.17870
9.77203	0.21665	0.17327
9.75320	0.23636	0.17221
9.73166	0.26716	0.17530
9.70954	0.27658	0.17221
9.69298	0.30541	0.17447
9.67374	0.32122	0.17016
9.65185	0.34356	0.17227
9.63142	0.35109	0.16801
9.61287	0.38043	0.17244
9.59396	0.39820	0.16894
9.57115	0.42082	0.17059
9.55349	0.41903	0.16223
9.53338	0.44430	0.16460
